URL,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building,Zip code
https://immovlan.be/en/detail/residence/for-sale/2800/mechelen/rbv25929,2800 Mechelen,House,residence,350000.0,for sale,3.0,156.0,,0.0,,1.0,,0.0,,71.0,2.0,,Normal,2800.0
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbv25927,2200 Herentals,House,residence,310000.0,for sale,3.0,111.0,,0.0,,1.0,,1.0,,133.0,2.0,,Normal,2200.0
https://immovlan.be/en/detail/apartment/for-sale/2180/ekeren/rbv25918,2180 Ekeren,Apartment,apartment,234000.0,for sale,2.0,86.0,,0.0,,1.0,,1.0,,,2.0,1.0,Normal,2180.0
https://immovlan.be/en/detail/residence/for-sale/2930/brasschaat/rbv25909,2930 Brasschaat,House,residence,415000.0,for sale,3.0,140.0,,0.0,,1.0,,1.0,,386.0,3.0,,Normal,2930.0
https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbv25907,2830 Willebroek,Apartment,apartment,220000.0,for sale,1.0,57.0,,0.0,,0.0,,1.0,10.0,,2.0,,Normal,2830.0
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbv25905,2000 Antwerp,Apartment,apartment,175000.0,for sale,1.0,35.0,,0.0,,1.0,,0.0,,,2.0,,Normal,2000.0
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbv25904,2000 Antwerp,Apartment,apartment,149000.0,for sale,1.0,26.0,,0.0,,1.0,,0.0,,,2.0,,Normal,2000.0
https://immovlan.be/en/detail/apartment/for-sale/2140/antwerp/rbv25866,2140 Antwerp,Apartment,apartment,209000.0,for sale,2.0,90.0,Fully equipped,0.0,,1.0,,0.0,,,2.0,0.0,Normal,2140.0
https://immovlan.be/en/detail/duplex/for-sale/2000/antwerp/rbv25855,2000 Antwerp,Apartment,duplex,359000.0,for sale,2.0,70.0,,0.0,,1.0,,0.0,,,,,Normal,2000.0
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbv25854,2140 Borgerhout,Apartment,apartment,187000.0,for sale,2.0,80.0,,0.0,,1.0,,0.0,,,,,Normal,2140.0
https://immovlan.be/en/detail/residence/for-sale/2235/hulshout/rbv25841,2235 Hulshout,House,residence,599000.0,for sale,4.0,300.0,Super equipped,0.0,,1.0,,1.0,,1661.0,4.0,,,2235.0
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbv25820,2000 Antwerp,Apartment,apartment,300000.0,for sale,1.0,65.0,Super equipped,1.0,,1.0,,,,,,0.0,Excellent,2000.0
https://immovlan.be/en/detail/apartment/for-sale/2980/zoersel/rbu46169,2980 Zoersel,Apartment,apartment,290000.0,for sale,1.0,78.0,,,,1.0,,0.0,,,,,Excellent,2980.0
https://immovlan.be/en/detail/apartment/for-sale/2221/booischot/rbv25934,2221 Booischot,Apartment,apartment,295000.0,for sale,2.0,98.0,Super equipped,,,1.0,,1.0,23.0,,2.0,,New,2221.0
https://immovlan.be/en/detail/apartment/for-sale/2221/booischot/rbv25933,2221 Booischot,Apartment,apartment,289000.0,for sale,2.0,98.0,Super equipped,,,1.0,,0.0,,,,,,2221.0
