URL,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building,Zip code
https://immovlan.be/en/detail/residence/for-sale/5000/namur/vbd90738,5000 Namur,Apartment,residence,419000,for sale,3.0,120.0,,0.0,,0.0,,1.0,1967.0,1967.0,4.0,,New,5000
https://immovlan.be/en/detail/residence/for-sale/5150/floreffe/vbd90666,5150 Floreffe,Apartment,residence,310000,for sale,5.0,216.0,,0.0,,1.0,,1.0,,1521.0,3.0,,To be renovated,5150
https://immovlan.be/en/detail/apartment/for-sale/5300/andenne/vbd90663,5300 Andenne,Apartment,apartment,168000,for sale,2.0,87.0,,0.0,,1.0,,0.0,,,,,Normal,5300
https://immovlan.be/en/detail/duplex/for-sale/5000/namur/vbd90643,5000 Namur,Apartment,duplex,195000,for sale,1.0,52.0,,0.0,,0.0,,0.0,,,,0.0,,5000
https://immovlan.be/en/detail/apartment/for-sale/5560/houyet/vbd90608,5560 Houyet,Apartment,apartment,85000,for sale,1.0,40.0,Fully equipped,0.0,,0.0,,0.0,,,2.0,0.0,Normal,5560
https://immovlan.be/en/detail/residence/for-sale/5364/schaltin/vbd90569,5364 Schaltin,Apartment,residence,360000,for sale,3.0,158.0,Super equipped,,,1.0,,1.0,,1989.0,4.0,,,5364
https://immovlan.be/en/detail/residence/for-sale/5364/schaltin/vbd90568,5364 Schaltin,Apartment,residence,370000,for sale,4.0,175.0,Super equipped,,,1.0,,1.0,,1163.0,4.0,,,5364
https://immovlan.be/en/detail/residence/for-sale/5000/namur/vbd90542,5000 Namur,Apartment,residence,219000,for sale,3.0,140.0,,0.0,,1.0,,1.0,50.0,101.0,2.0,0.0,Fully renovated,5000
https://immovlan.be/en/detail/residence/for-sale/5670/viroinval/vbd90529,5670 Viroinval,Apartment,residence,127000,for sale,3.0,111.0,Fully equipped,,,1.0,,,,153.0,2.0,0.0,Normal,5670
https://immovlan.be/en/detail/residence/for-sale/5080/rhisnes/vbd90526,5080 Rhisnes,Apartment,residence,249000,for sale,3.0,,,,,1.0,,1.0,,,,,,5080
https://immovlan.be/en/detail/residence/for-sale/5550/mouzaive/vwd16732,5550 Mouzaive,Apartment,residence,640000,for sale,8.0,400.0,Fully equipped,,,1.0,,1.0,,1196.0,4.0,,Excellent,5550
https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd90371,5100 Jambes,Apartment,apartment,230000,for sale,2.0,130.0,Fully equipped,0.0,,0.0,,0.0,,,,0.0,Normal,5100
https://immovlan.be/en/detail/residence/for-sale/5575/gedinne/vbd90268,5575 Gedinne,Apartment,residence,155000,for sale,3.0,166.0,,0.0,,0.0,,1.0,150.0,261.0,3.0,,To be renovated,5575
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd90186,5000 Namur,Apartment,apartment,225000,for sale,2.0,75.0,,0.0,,0.0,,0.0,,,,,,5000
https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbd90184,5500 Dinant,Apartment,residence,200000,for sale,3.0,214.0,,0.0,,1.0,,1.0,400.0,437.0,2.0,,To be renovated,5500
https://immovlan.be/en/detail/residence/for-sale/5060/sambreville/vbd90163,5060 Sambreville,Apartment,residence,320000,for sale,3.0,120.0,Super equipped,0.0,,1.0,,1.0,,306.0,3.0,0.0,Excellent,5060
https://immovlan.be/en/detail/residence/for-sale/5190/spy/vbd90083,5190 Spy,Apartment,residence,665000,for sale,6.0,483.0,,0.0,,1.0,,1.0,,497.0,4.0,1.0,,5190
https://immovlan.be/en/detail/residence/for-sale/5372/mean/vbd90001,5372 Méan,Apartment,residence,295000,for sale,4.0,160.0,,0.0,,0.0,,1.0,619.0,1153.0,4.0,0.0,To be renovated,5372
https://immovlan.be/en/detail/apartment/for-sale/5000/namur/vbd89975,5000 Namur,Apartment,apartment,375000,for sale,3.0,97.0,,1.0,,0.0,,0.0,,,2.0,,Fully renovated,5000
