URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
https://immovlan.be/en/detail/residence/for-sale/4500/huy/vbd87976,4500,Huy,House,residence,290000,for sale,3,150,3,0,,1,,1,20,130,3,0,1
https://immovlan.be/en/detail/residence/for-sale/5670/oignies-en-thierache/vbd62563,5670,Oignies-En-Thiérache,House,residence,250000,for sale,4,120,,,,1,15,1,5760,5895,4,,
https://immovlan.be/en/detail/master-house/for-sale/9600/ronse/rbv31453,9600,Ronse,House,master-house,399000,for sale,5,314,2,0,,1,,1,,310,2,0,2
https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbd29997,1080,Sint-Jans-Molenbeek,Apartment,apartment,175000,for sale,1,75,,0,,1,19,0,,,2,,0
https://immovlan.be/en/detail/residence/for-sale/5560/houyet/vbd76060,5560,Houyet,House,residence,329000,for sale,4,163,3,,,1,,1,1049,1049,4,0,4
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd75654,6700,Arlon,House,residence,230000,for sale,5,260,3,,,0,,0,,,3,,0
https://immovlan.be/en/detail/penthouse/for-sale/1180/ukkel/vbd85380,1180,Ukkel,Apartment,penthouse,995000,for sale,3,199,,,0,1,72,0,,,3,,4
https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbd64080,1210,Sint-Joost-ten-Node,Apartment,apartment,185000,for sale,1,90,,0,,1,,0,,,2,,0
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbv27885,2100,Deurne,House,residence,269000,for sale,5,119,,0,,1,7,0,,71,2,,1
https://immovlan.be/en/detail/villa/for-sale/8210/veldegem/rbv23747,8210,Veldegem,House,villa,550000,for sale,4,271,,,,1,,1,,1145,,,2
https://immovlan.be/en/detail/apartment/for-sale/1150/sint-pieters-woluwe/vbd84847,1150,Sint-Pieters-Woluwe,Apartment,apartment,682500,for sale,3,145,,,0,1,,0,,,2,,4
https://immovlan.be/en/detail/penthouse/for-sale/1150/sint-pieters-woluwe/vbd84743,1150,Sint-Pieters-Woluwe,Apartment,penthouse,1135000,for sale,3,195,,,0,1,54,0,,,,,2
https://immovlan.be/en/detail/residence/for-sale/2970/schilde/rbv38886,2970,Schilde,House,residence,419000,for sale,3,165,,0,,1,,1,,560,3,,0
https://immovlan.be/en/detail/penthouse/for-sale/1745/opwijk/rbv24417,1745,Opwijk,Apartment,penthouse,520000,for sale,3,118,,0,,1,42,,,,2,,
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd53437,1030,Schaarbeek,Apartment,apartment,235000,for sale,3,105,,0,,1,,0,,,2,0,0
https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv10406,1500,Halle,House,residence,470000,for sale,4,,,,,0,,0,,192,,,1
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbv23746,8420,De,Apartment,apartment,315000,for sale,3,106,,1,,0,,0,,,,,2
https://immovlan.be/en/detail/residence/for-sale/3650/dilsen-stokkem/rbv31541,3650,Dilsen-Stokkem,House,residence,675000,for sale,4,236,,,,1,,1,,708,4,,
https://immovlan.be/en/detail/residence/for-sale/3000/leuven/rbv00937,3000,Leuven,House,residence,392500,for sale,2,70,1,0,,1,6,0,,32,2,0,2
https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbv36566,2300,Turnhout,House,residence,259000,for sale,3,156,2,0,,1,,1,,200,3,,1
https://immovlan.be/en/detail/residence/for-sale/3980/tessenderlo/rbv33833,3980,Tessenderlo,House,residence,295000,for sale,3,225,,,,1,,1,,596,3,,4
https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd15177,1380,Lasne,House,villa,795000,for sale,4,200,2,0,,1,109,1,4085,4220,4,0,1
https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbd80316,1140,Evere,Apartment,apartment,220000,for sale,2,59,,,,1,4,0,,,,,1
https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbd61456,1160,Oudergem,House,residence,1880000,for sale,7,,,,,,,,,,2,,
https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbd73697,1050,Elsene,House,residence,2690000,for sale,5,850,,,1,1,,1,,1450,2,,2
https://immovlan.be/en/detail/bungalow/for-sale/6940/durbuy/vbd86351,6940,Durbuy,Apartment,bungalow,150000,for sale,2,49,,,,0,,1,,413,,,1
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbv11152,1000,Brussels,House,residence,1290000,for sale,,500,,,1,1,,0,,182,2,,1
https://immovlan.be/en/detail/residence/for-sale/5580/ave-et-auffe/vbd72246,5580,Ave-et-Auffe,House,residence,,for sale,4,162,,,,0,,1,200,200,,,0
https://immovlan.be/en/detail/residence/for-sale/1460/ittre/vbd71965,1460,Ittre,House,residence,400000,for sale,3,105,,,,1,,1,,908,4,,
https://immovlan.be/en/detail/residence/for-sale/1090/jette/vbd91731,1090,Jette,House,residence,549000,for sale,3,180,,0,,1,20,1,110,203,2,0,1
https://immovlan.be/en/detail/residence/for-sale/2590/berlaar/rbv23991,2590,Berlaar,House,residence,1235000,for sale,4,321,,0,,0,,0,,10804,4,,
https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd76331,1950,Kraainem,House,residence,1690000,for sale,6,340,3,0,,1,,1,2400,2759,4,1,1
https://immovlan.be/en/detail/residence/for-sale/5630/cerfontaine/vbd88868,5630,Cerfontaine,House,residence,165000,for sale,1,181,,0,,1,25,1,,707,3,,0
https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd77923,1050,Elsene,Apartment,apartment,280000,for sale,,,,,,1,,0,,,1,,
https://immovlan.be/en/detail/residence/for-sale/5060/falisolle/vbd90986,5060,Falisolle,House,residence,299000,for sale,3,103,3,0,,1,22,1,167,233,2,0,2
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd92817,6061,Montignies-sur-Sambre,House,residence,209000,for sale,3,133,,0,,1,18,1,254,404,3,,0
https://immovlan.be/en/detail/apartment/for-sale/1325/chaumont-gistoux/vbd76856,1325,Chaumont-Gistoux,Apartment,apartment,290000,for sale,2,73,2,0,,0,,1,,,,0,2
https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd83104,1040,Etterbeek,Apartment,apartment,350000,for sale,2,99,,0,,1,4,0,,,2,0,0
https://immovlan.be/en/detail/apartment/for-sale/1190/vorst/vbd91947,1190,Vorst,Apartment,apartment,195000,for sale,1,55,3,0,,1,,0,,,2,0,1
https://immovlan.be/en/detail/studio/for-sale/1410/waterloo/vbd39725,1410,Waterloo,Apartment,studio,335000,for sale,1,54,3,,,1,,1,,,,1,2
https://immovlan.be/en/detail/apartment/for-sale/1080/sint-jans-molenbeek/vbd84125,1080,Sint-Jans-Molenbeek,Apartment,apartment,249000,for sale,2,104,2,0,,1,3,0,,,2,0,1
https://immovlan.be/en/detail/residence/for-sale/7370/elouges/vbd90392,7370,Élouges,House,residence,55000,for sale,3,91,,0,,1,,1,,,2,,0
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd56571,1030,Schaarbeek,Apartment,apartment,195000,for sale,1,75,,0,,1,4,0,,,2,0,0
https://immovlan.be/en/detail/residence/for-sale/4790/burg-reuland/vbd87447,4790,Burg-Reuland,House,residence,375000,for sale,1,275,3,,,1,90,,,552,4,0,1
https://immovlan.be/en/detail/mixed-building/for-sale/4820/dison/vbd86020,4820,Dison,House,mixed-building,270000,for sale,8,,2,0,,1,44,0,,230,2,0,0
https://immovlan.be/en/detail/residence/for-sale/1400/nivelles/vbc88371,1400,Nivelles,House,residence,310000,for sale,3,140,,0,,1,18,1,100,223,2,,
https://immovlan.be/en/detail/residence/for-sale/1370/melin/vbd38158,1370,Mélin,House,residence,445000,for sale,4,162,2,0,,1,27,1,3543,3649,4,0,2
https://immovlan.be/en/detail/residence/for-sale/3650/dilsen-stokkem/rbv31542,3650,Dilsen-Stokkem,House,residence,449000,for sale,5,262,,,,1,,1,,1190,3,,
https://immovlan.be/en/detail/ground-floor/for-sale/9000/gent/rbv31442,9000,Gent,Apartment,ground-floor,327500,for sale,2,89,2,0,,1,13,0,,,2,0,4
https://immovlan.be/en/detail/residence/for-sale/3600/genk/rbu51002,3600,Genk,House,residence,199900,for sale,4,161,,0,,0,,1,,612,3,,0
https://immovlan.be/en/detail/residence/for-sale/4870/trooz/vbd85842,4870,Trooz,House,residence,59000,for sale,3,142,,0,,1,,1,,373,3,0,0
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd76070,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,325000,for sale,2,73,,0,,1,2,0,,,2,,0
https://immovlan.be/en/detail/residence/for-sale/4101/jemeppe/vbd88931,4101,Jemeppe,House,residence,195000,for sale,2,120,,0,,1,2,1,140,215,,,3
https://immovlan.be/en/detail/residence/for-sale/1450/chastre/vbd88708,1450,Chastre,House,residence,492953,for sale,3,172,,,,,,1,,1350,4,,4
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbv01997,8800,Roeselare,House,residence,318000,for sale,3,211,,,,1,55,0,,233,2,,
https://immovlan.be/en/detail/apartment/for-sale/3650/dilsen-stokkem/rbu62046,3650,Dilsen-Stokkem,Apartment,apartment,310560,for sale,2,124,,,,1,16,1,34,,,,
https://immovlan.be/en/detail/apartment/in-public-sale/1040/etterbeek/vbd82442,1040,Etterbeek,Apartment,apartment,199000,in public sale,2,,,,,1,,0,,,,,
https://immovlan.be/en/detail/residence/for-sale/4300/waremme/vbd86685,4300,Waremme,House,residence,115000,for sale,3,128,1,0,,1,,1,,460,2,0,
https://immovlan.be/en/detail/apartment/for-sale/1090/jette/rbm61604,1090,Jette,Apartment,apartment,284500,for sale,1,82,2,0,,1,4,0,,,4,,1
https://immovlan.be/en/detail/villa/for-sale/1460/ittre/vbc97400,1460,Ittre,House,villa,450000,for sale,4,200,3,0,,1,28,1,770,957,4,0,2
https://immovlan.be/en/detail/residence/for-sale/1160/oudergem/vbd85060,1160,Oudergem,House,residence,695000,for sale,4,,,,,0,,1,,,,,
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd85470,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,802000,for sale,2,132,,,0,1,13,0,,,2,,4
https://immovlan.be/en/detail/apartment/for-sale/1210/sint-joost-ten-node/vbd65865,1210,Sint-Joost-ten-Node,Apartment,apartment,195000,for sale,1,44,3,0,,1,5,0,,,,0,1
https://immovlan.be/en/detail/residence/for-sale/1410/waterloo/vbd76549,1410,Waterloo,House,residence,725000,for sale,5,298,3,0,,1,,1,645,745,3,0,1
https://immovlan.be/en/detail/apartment/for-sale/6790/aubange/vbd61403,6790,Aubange,Apartment,apartment,198000,for sale,2,69,,0,,1,,0,,,4,,1
https://immovlan.be/en/detail/residence/for-sale/3840/borgloon/rbv29941,3840,Borgloon,House,residence,374000,for sale,3,143,,,,1,,1,,293,,,
https://immovlan.be/en/detail/residence/for-sale/3550/heusden-zolder/rbv17143,3550,Heusden-Zolder,House,residence,350000,for sale,3,174,,,,0,,1,,680,4,,
https://immovlan.be/en/detail/apartment/for-sale/3290/diest/rbv09372,3290,Diest,Apartment,apartment,330000,for sale,2,121,,0,,1,,0,,,3,,1
https://immovlan.be/en/detail/residence/for-sale/1190/vorst/vbc99773,1190,Vorst,House,residence,650000,for sale,5,196,,0,,0,,1,168,260,,,
https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vba54534,1170,Watermaal-Bosvoorde,Apartment,apartment,198000,for sale,1,53,,0,,1,2,0,,,4,0,1
https://immovlan.be/en/detail/mixed-building/for-sale/1480/tubize/vbd93293,1480,Tubize,House,mixed-building,800000,for sale,,,,,,,,1,,,2,,
https://immovlan.be/en/detail/apartment/for-sale/4900/spa/vbd91540,4900,Spa,Apartment,apartment,239000,for sale,2,93,,0,,1,6,1,108,,2,,1
https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbd76697,1000,Brussels,Apartment,duplex,865000,for sale,3,167,2,,,1,26,,,,2,0,4
https://immovlan.be/en/detail/residence/for-sale/5002/saint-servais/vbd61565,5002,Saint-Servais,House,residence,259000,for sale,4,156,1,0,,1,10,1,29,129,2,0,2
