,URL,Zip code,City,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Garden area,Surface of the land,Number of facades,Swimming pool,State of the building
36,https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd80081,1040,Etterbeek,Apartment,apartment,255000,for sale,1.0,90,2.0,0,0,0,0,0.0,649.0,3.0,0,2.0
37,https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbd85045,1050,Elsene,House,residence,2650000,for sale,4.0,467,2.0,0,0,1,1,45.0,150.0,3.0,0,4.0
38,https://immovlan.be/en/detail/apartment/for-sale/4802/heusy/vbd80578,4802,Heusy,Apartment,apartment,441535,for sale,2.0,122,2.0,0,0,1,0,0.0,649.0,3.0,0,4.0
39,https://immovlan.be/en/detail/apartment/for-sale/1390/grez-doiceau/vbd82755,1390,Grez-Doiceau,Apartment,apartment,345000,for sale,2.0,120,2.0,0,0,0,1,133.0,649.0,3.0,0,1.0
41,https://immovlan.be/en/detail/residence/for-sale/3620/lanaken/rbv28911,3620,Lanaken,House,residence,389000,for sale,5.0,161,2.0,0,0,1,1,255.0,417.0,2.0,0,1.0
42,https://immovlan.be/en/detail/studio/for-sale/9000/gent/rbv14907,9000,Gent,Apartment,studio,230000,for sale,3.0,32,3.0,0,0,0,1,255.0,649.0,2.0,0,2.0
43,https://immovlan.be/en/detail/apartment/for-sale/4630/soumagne/vbd85208,4630,Soumagne,Apartment,apartment,150000,for sale,1.0,55,1.0,0,0,0,0,0.0,649.0,3.0,0,1.0
44,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd57048,1050,Elsene,Apartment,apartment,825000,for sale,3.0,231,2.0,0,0,1,0,0.0,649.0,2.0,0,1.0
45,https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd83857,1000,Brussels,House,mixed-building,849000,for sale,8.0,340,1.0,0,0,1,0,0.0,207.0,2.0,0,1.0
46,https://immovlan.be/en/detail/penthouse/for-sale/1030/schaarbeek/vbd87971,1030,Schaarbeek,Apartment,penthouse,399000,for sale,5.0,165,2.0,0,0,1,0,0.0,649.0,4.0,0,1.0
47,https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd48023,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,235000,for sale,1.0,75,2.0,0,0,1,0,0.0,649.0,2.0,0,0.0
48,https://immovlan.be/en/detail/residence/for-sale/5651/somzee/vbd68363,5651,Somzée,House,residence,349000,for sale,2.0,231,2.0,0,0,1,1,255.0,199.0,3.0,0,1.0
49,https://immovlan.be/en/detail/apartment/for-sale/6890/libin/vbd61066,6890,Libin,Apartment,apartment,295000,for sale,3.0,159,3.0,0,0,1,1,512.0,649.0,3.0,0,2.0
50,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd78204,1180,Ukkel,Apartment,apartment,240000,for sale,2.0,67,3.0,0,0,1,0,0.0,649.0,4.0,0,1.0
51,https://immovlan.be/en/detail/apartment/for-sale/9400/ninove/rbv35809,9400,Ninove,Apartment,apartment,285000,for sale,2.0,112,2.0,0,0,1,0,0.0,649.0,2.0,0,0.0
53,https://immovlan.be/en/detail/residence/for-sale/5190/spy/vbd90083,5190,Spy,House,residence,665000,for sale,6.0,483,2.0,0,0,1,1,255.0,497.0,4.0,1,2.0
55,https://immovlan.be/en/detail/residence/for-sale/9280/lebbeke/rbv33864,9280,Lebbeke,House,residence,185000,for sale,5.0,279,2.0,0,0,0,0,0.0,262.0,4.0,0,0.0
56,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd84936,1050,Elsene,Apartment,apartment,375000,for sale,1.0,75,2.0,0,0,1,0,0.0,649.0,2.0,0,1.0
57,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbu75253,3700,Berg,House,residence,186000,for sale,2.0,99,2.0,0,0,1,1,255.0,90.0,2.0,0,2.0
58,https://immovlan.be/en/detail/duplex/for-sale/5000/namur/vbd84195,5000,Namur,Apartment,duplex,235000,for sale,4.0,190,1.0,0,0,1,0,0.0,649.0,2.0,0,0.0
59,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbd79415,1050,Elsene,Apartment,apartment,369000,for sale,2.0,85,3.0,0,0,1,0,0.0,649.0,2.0,0,1.0
60,https://immovlan.be/en/detail/residence/for-sale/5377/somme-leuze/vbd48543,5377,Somme-Leuze,House,residence,199000,for sale,3.0,110,3.0,0,0,1,1,960.0,960.0,2.0,0,3.0
61,https://immovlan.be/en/detail/residence/for-sale/4032/chenee/vbd81713,4032,Chênée,House,residence,349000,for sale,4.0,200,2.0,0,0,1,1,255.0,649.0,3.0,0,3.0
62,https://immovlan.be/en/detail/residence/for-sale/1700/dilbeek/rbv14321,1700,Dilbeek,House,residence,445000,for sale,3.0,120,3.0,0,0,1,1,255.0,535.0,4.0,0,1.0
